,HSG_Area_20m,HSG_Area_30m,HSG_Average_Slope_30m,HSG_Force_15m,HSG_Force_20m,HSG_Force_30m,HSG_Moment_20m,HSG_Rate_Vol_15m,HSG_Rate_Vol_20m,HSG_Rate_Vol_30m,HSG_Rocket_15m,HSG_SRC_1h,HSG_VWAP_close_1h,HSG_VWAP_close_30m,HSG_VWAP_correlation_rank_15m,HSG_WilliamsAd_1h,HSG_acceleration_15m,HSG_acceleration_20m,HSG_acceleration_30m,HSG_buy_sell_battle_15m,HSG_buyhighselllow_1h,HSG_close_score_1h,HSG_close_score_30m,HSG_highlow_1h,HSG_hlvwap_15m,HSG_hlvwap_1h,HSG_hlvwap_20m,HSG_kc_5m,HSG_mean_ret_1h,HSG_mean_ret_30m,HSG_midpoint_15m,HSG_midpoint_20m,HSG_new_percentrank_30m,HSG_standing_wave_1h,HSG_stochastic_30m,HSG_sup_resis_1h,HSG_sup_resis_30m,HSG_tcal_ret_5m,HSG_thep_15m
2021-08-15,0.02094311529940994,0.06032422511367554,0.0,0,0,0.0,0.013996736547589926,0,0.0,0.03249870245293745,0.03574374904262338,0,0,0,0.0003374582960857417,0.030467158315734925,0.10242676650385414,0.06057851976790859,0.04144286750816685,0,0,0,0,0.08871806239966751,0,0,0,0,0.05997870911463955,0.18475136033447812,0,0.0545028808503381,0,0.0550634632510511,0.14883856049726793,0,0,0.002306075854567348,0.007081588850004423
2021-08-22,0.02126648038090035,0.06016222316988076,0.0,0,0,0.0,0.012499266987133032,0,0.0,0.035974610801921623,0.03672510722463121,0,0,0,0.0023600450258772403,0.030887144934327322,0.10082549757335074,0.06093094954462206,0.04193055675405468,0,0,0,0,0.08406043981205447,0,0,0,0,0.06482672591813789,0.1835089987575904,0,0.04916228989001158,0,0.05811759906045932,0.14559273039579337,0,0,0.0018812823673173848,0.009288051401935556
2021-08-29,0.01903427405071579,0.060593843083673826,0.0012850086828906221,0,0,0.0020140905551302942,0.009811305680520783,0,0.0,0.04148139941562364,0.041463574210275696,0,0,0,0.0036955933476722773,0.03299378430821243,0.10095867362468344,0.061232299326106986,0.04312992295618516,0,0,0,0,0.07860681684520285,0,0,0,0,0.0654378814901622,0.17898853742779622,0,0.03968258729016238,0,0.054973053141627364,0.14520810583395688,0,0,0.004707594602534407,0.014701654126867325
2021-09-05,0.019679042996883,0.06147215679528205,0.00226413836169757,0,0,0.003990362287707966,0.011323074744857133,0,0.0,0.041995415714338645,0.04121722673562667,0,0,0,0.004408700057399465,0.03369913393929545,0.10022215796414934,0.06115372588368176,0.04279393636650354,0,0,0,0,0.07616225818117224,0,0,0,0,0.06528738098826119,0.17969814443630389,0,0.03859490159259154,0,0.05583478299764004,0.1429818513065181,0,0,0.00352795033924445,0.01369365831084727
2021-09-12,0.02089400783276159,0.06449192287950163,0.0025159987614301123,0,0,0.0,0.01543615232748697,0,0.0,0.041955274423277976,0.037599764979519064,0,0,0,0.008670133584113353,0.03168571753931743,0.09690409091594131,0.06384733032696452,0.04264313465386192,0,0,0,0,0.07701483835753092,0,0,0,0,0.06669355286710063,0.17767442505432762,0,0.03289192424964254,0,0.054498211996979816,0.14562633514836812,0,0,0.0,0.018957184101873803
2021-09-19,0.019559268127657955,0.05966909792576997,0.0004256328632926205,0,0,0.0,0.01687568842635313,0,0.0,0.045625363920948854,0.03417992493509879,0,0,0,0.006043692181243266,0.032676606750467706,0.09492354908974203,0.06696599523470606,0.03928390447734536,0,0,0,0,0.0825285950920683,0,0,0,0,0.06849737480536983,0.17661895425904495,0,0.03121331156923447,0,0.05890439788946397,0.1464680756708097,0,0,0.0,0.019540566781384515
2021-09-26,0.020169930397964393,0.057044895664366574,0.0,0,0,0.0,0.015449228392130976,0,0.0,0.044887945255516905,0.03734384250711871,0,0,0,0.0031258988126024014,0.0365576117998867,0.10249860756192426,0.0676136622107447,0.042523118189499186,0,0,0,0,0.07859042618904633,0,0,0,0,0.06640846461733257,0.17409021629680232,0,0.0271262715480725,0,0.06128912721290155,0.1471610864307836,0,0,0.0,0.018119666913308404
2021-10-03,0.023884399647736924,0.057125153465829005,0.0,0,0,0.004455605567898607,0.014977022454454852,0,0.0,0.04861399772291944,0.0420336302359798,0,0,0,0.0005734507007863587,0.03608794849220098,0.1005214052429814,0.06546378288201116,0.03920356228604666,0,0,0,0,0.07958200331889667,0,0,0,0,0.0702157572093887,0.17374245593009027,0,0.026963898183674777,0,0.059010475884516925,0.13854654526491422,0,0,0.0,0.01899890550967267
2021-10-10,0.024006893187252715,0.05637504491883948,0.0,0,0,0.003962494379358015,0.011661442936850031,0,0.0,0.04813272867097246,0.04370539739109593,0,0,0,0.00047197448658895625,0.03637694000800708,0.09972740151204708,0.06688491472229513,0.037320423688584924,0,0,0,0,0.08064338741322767,0,0,0,0,0.06988158685632265,0.1743839993207306,0,0.02669262305971049,0,0.061123305647309306,0.13884108522069807,0,0,0.0,0.019808356580107735
2021-10-17,0.027913066640023493,0.05973832902210707,0.0,0,0,0.01286242271996284,0.01621710231004591,0,0.0,0.038645394926550385,0.04288007095073251,0,0,0,0.005186907070845912,0.031227437150587584,0.09804880049176821,0.07033486945900759,0.040709978646112845,0,0,0,0,0.07556178464765445,0,0,0,0,0.06982933157771755,0.1762282848850574,0,0.023450320306891148,0,0.057642057566697026,0.1319297176884604,0,0,0.0,0.021594123939778106
