,HSG_Area_20m,HSG_Area_30m,HSG_Average_Slope_30m,HSG_Force_15m,HSG_Force_20m,HSG_Force_30m,HSG_Moment_20m,HSG_Rate_Vol_15m,HSG_Rate_Vol_20m,HSG_Rate_Vol_30m,HSG_Rocket_15m,HSG_SRC_1h,HSG_VWAP_close_1h,HSG_VWAP_close_30m,HSG_VWAP_correlation_rank_15m,HSG_WilliamsAd_1h,HSG_acceleration_15m,HSG_acceleration_20m,HSG_acceleration_30m,HSG_buy_sell_battle_15m,HSG_buyhighselllow_1h,HSG_close_score_1h,HSG_close_score_30m,HSG_highlow_1h,HSG_hlvwap_15m,HSG_hlvwap_1h,HSG_hlvwap_20m,HSG_kc_5m,HSG_mean_ret_1h,HSG_mean_ret_30m,HSG_midpoint_15m,HSG_midpoint_20m,HSG_new_percentrank_30m,HSG_standing_wave_1h,HSG_stochastic_30m,HSG_sup_resis_1h,HSG_sup_resis_30m,HSG_tcal_ret_5m,HSG_thep_15m
2021-08-15,0.06670821395268825,0.07788901212075575,0.006068774205302709,0,0,0.001476316424767392,0.00429395141125973,0,0.0,0.009663391396440839,0.040854140806761,0,0,0,0.019720105915558853,0.022400669335416463,0.10722333968779399,0.06354540766552606,0.04951257544111886,0,0,0,0,0.07957826608663598,0,0,0,0,0.05807655506650967,0.17038582737826735,0,0.021687068381874532,0,0.0296224424108907,0.14907330686775874,0,0,0.006905246767030439,0.015315388677642424
2021-08-22,0.06621989173513207,0.07756663537875143,0.008074394314839365,0,0,0.0019060205164600256,0.0029309217739509684,0,0.0,0.011320085824936878,0.04071552971736262,0,0,0,0.021035528560274814,0.022279819940894764,0.10646793355520671,0.06335587307970116,0.049861108826751356,0,0,0,0,0.07615542470661907,0,0,0,0,0.061665905650846634,0.1707861931080625,0,0.018167923869675712,0,0.03154722330959559,0.14748529141457317,0,0,0.006268354304798998,0.01618994041156423
2021-08-29,0.0629950959503423,0.07754824531273873,0.008690900725393367,0,0,0.0026218671527459074,0.0006138358410869401,0,0.0,0.015361837983921005,0.0442123355754104,0,0,0,0.021489100772519837,0.023503090421423824,0.10715404069097481,0.06288100359147177,0.05043450715868472,0,0,0,0,0.07300403205576426,0,0,0,0,0.062080062690473434,0.17006654821794792,0,0.012521387433145875,0,0.030367145621078395,0.1478796289555889,0,0,0.007597607325844881,0.018977726523442984
2021-09-05,0.0634863713155609,0.07820152189188458,0.0094442768333886,0,0,0.004046767429291102,0.0017708359938307934,0,0.0,0.01575722740100638,0.04402091670408783,0,0,0,0.022090837037115403,0.0238162471669412,0.10663150798925965,0.06290168861654648,0.05032600137985996,0,0,0,0,0.07110417380673012,0,0,0,0,0.06191983330208324,0.17050738347691857,0,0.011696712285152308,0,0.03074636172200183,0.14642004958170945,0,0,0.006893681243125132,0.018217604823506893
2021-09-12,0.059678698667939456,0.07808156773606877,0.008324445562907111,0,0,0.0,0.0062513992478946245,0,0.0,0.018686586872399064,0.042696665859030314,0,0,0,0.02323921234240144,0.02382321274369828,0.10295164656295189,0.0648259753792121,0.049632152875622226,0,0,0,0,0.07236291711051618,0,0,0,0,0.0634536144237799,0.16937273597724867,0,0.010192462770481856,0,0.03319004585512775,0.14634799142614094,0,0,0.004074155530461009,0.022814513056116512
2021-09-19,0.06262715326021243,0.07568282223562967,0.007216906597568682,0,0,0.0,0.007025741716058695,0,0.0,0.020044023245325688,0.04072824186177238,0,0,0,0.02283209113323651,0.023937556237099828,0.1016134432822763,0.06742150596785178,0.04813761197791276,0,0,0,0,0.07616234247170788,0,0,0,0,0.0650135609511204,0.1679725113602526,0,0.007308468218984374,0,0.034610397847873675,0.1459246238655535,0,0,0.0015918377281760668,0.024149160041387906
2021-09-26,0.0628305016742993,0.07377829486059256,0.005530185496421687,0,0,0.0,0.006367105355025915,0,0.0,0.02053721430658994,0.0435378304778976,0,0,0,0.020012799743781513,0.026651361546499584,0.10756032800447145,0.067857408946251,0.050209389740603266,0,0,0,0,0.07317599251871544,0,0,0,0,0.06368809652117136,0.16698862883397456,0,0.005145448798100592,0,0.03628450134132395,0.14665229784736653,0,0,0.00026937228010874044,0.022923241706806187
2021-10-03,0.06585352386873142,0.07397404575622145,0.003863348184728116,0,0,0.005243099426790568,0.005382376300137988,0,0.0,0.022377647832904822,0.047865772406102215,0,0,0,0.01803840027753588,0.026650950123741454,0.10640726673555283,0.06640700117771647,0.047564487126237315,0,0,0,0,0.07380786466103852,0,0,0,0,0.06567322454346271,0.16656275458152123,0,0.004219938428837343,0,0.0346077600964379,0.14218396242883805,0,0,0.0,0.023316576043459436
2021-10-10,0.06670366843975664,0.07344540142090583,0.002006877512564902,0,0,0.005826660496563691,0.003887494738522058,0,0.0,0.02218626439429263,0.04981550468840133,0,0,0,0.01816100964246363,0.026658134765523884,0.10519824171933126,0.06749494979291652,0.04640652521336248,0,0,0,0,0.07448800621555825,0,0,0,0,0.06538036421481869,0.1661217140698494,0,0.004482267913143628,0,0.03556140853406423,0.1417523306976004,0,0,0.0,0.02442317553035826
2021-10-17,0.06612758034124436,0.07447915660241876,0.0,0,0,0.012085592808478708,0.0081464982996692,0,0.0,0.01760492784793711,0.04917350784418392,0,0,0,0.020579779439300155,0.02471255519724213,0.1033624142312398,0.06983964203906064,0.04789314658784393,0,0,0,0,0.0710856861630646,0,0,0,0,0.06510908973923132,0.16728776369595286,0,0.00376570603471416,0,0.03534453257304484,0.13796804013125383,0,0,0.0,0.02543438042412436
